Screen_Time_Per_Day,Sleep_Duration,Social_Media_Usage,Physical_Activity,Mood_Score,Workload_Stress_Score,Eating_Habit,Mental_Health_Risk,Suggested_Tip
6.7,6.3,136,3.5,10,3,Skipped,No,Maintain your current healthy habits.
8.1,6.4,129,2.1,8,8,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.3,6.7,221,3,10,3,Irregular,No,Continue staying socially connected.
5.4,6.7,160,3,5,3,Balanced,No,Continue staying socially connected.
5.2,8.8,118,2.4,4,7,Skipped,No,Maintain your current healthy habits.
5.6,7.9,64,3.4,1,4,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.8,5.7,83,1.7,,10,Skipped,Yes,Spend more time with friends and family.
6.3,3.9,299,2,8,7,Skipped,Yes,Incorporate physical activity into your routine.
6.8,6.5,242,1.5,5,8,Balanced,Yes,Spend more time with friends and family.
4.9,4.9,70,2.1,1,9,Balanced,Yes,Establish a consistent sleep routine.
6.9,7.6,192,3.5,10,7,Balanced,No,Maintain your current healthy habits.
8,7.3,230,3.2,8,2,Skipped,Yes,Establish a consistent sleep routine.
5.6,5.6,91,4.2,8,6,Skipped,No,Stay active and eat well.
4.7,6.4,130,4,3,1,Balanced,Yes,Incorporate physical activity into your routine.
4.6,7.4,236,2.6,3,7,Skipped,Yes,Limit social media usage.
5.9,9.7,251,2,5,7,Balanced,No,Continue staying socially connected.
7.3,9.2,58,2.2,2,10,Skipped,Yes,Incorporate physical activity into your routine.
5.2,7.1,163,4.2,4,10,Irregular,Yes,Limit social media usage.
5.5,5.5,219,2.7,9,4,Balanced,No,Continue staying socially connected.
5.4,4.9,227,2,8,9,Irregular,Yes,Spend more time with friends and family.
8.9,6.3,263,3.5,6,8,Balanced,Yes,Incorporate physical activity into your routine.
5.8,5.4,81,4.4,7,2,Balanced,Yes,Limit social media usage.
4.9,7,110,2.6,1,1,Irregular,Yes,Practice mindfulness or meditation daily.
5.9,5.8,201,,10,6,Irregular,No,Maintain your current healthy habits.
7.2,5.1,232,1.7,6,8,Skipped,Yes,Incorporate physical activity into your routine.
5,6.9,269,3,1,9,Skipped,Yes,Spend more time with friends and family.
4.5,5.8,288,4.7,3,10,Irregular,Yes,Spend more time with friends and family.
7.3,4.6,228,3.1,4,9,Skipped,Yes,Limit social media usage.
4.6,8.4,158,4.2,2,7,Skipped,Yes,Practice mindfulness or meditation daily.
7.3,8.7,292,3.4,10,9,Irregular,Yes,Practice mindfulness or meditation daily.
3.4,6.6,283,1.6,3,3,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.8,7.1,181,3.3,6,8,Balanced,Yes,Spend more time with friends and family.
7.3,8.6,141,3.3,2,2,Skipped,Yes,Establish a consistent sleep routine.
4.9,3,198,2.2,4,1,Irregular,Yes,Spend more time with friends and family.
6,6,164,2,3,6,Balanced,Yes,Spend more time with friends and family.
7.7,5.4,67,2.2,6,3,Irregular,Yes,Limit social media usage.
6.4,7.5,255,4.3,1,5,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4,6.5,33,1.4,3,1,Irregular,Yes,Establish a consistent sleep routine.
3.3,6.2,35,2.9,5,3,Irregular,No,Keep a balance between work and rest.
7.1,5.4,190,2.4,3,2,Balanced,Yes,Consider speaking to a counselor or mental health expert.
7.1,6.6,87,3.6,7,2,Irregular,Yes,Consider speaking to a counselor or mental health expert.
4.4,5.5,133,2,1,,Skipped,Yes,Consider speaking to a counselor or mental health expert.
4.6,8.2,199,3.5,9,8,Balanced,Yes,Practice mindfulness or meditation daily.
6.8,6.5,65,3.9,4,1,Skipped,No,Continue staying socially connected.
5.8,5.7,171,2.7,2,2,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.1,8.8,,2.3,9,10,Balanced,Yes,Establish a consistent sleep routine.
3.3,6.9,87,2.5,5,1,Irregular,No,Stay active and eat well.
7.6,5.9,137,3.8,5,7,Irregular,Yes,Consider speaking to a counselor or mental health expert.
9.6,8.7,173,3,3,1,Skipped,Yes,Practice mindfulness or meditation daily.
6.7,4.9,87,1,7,10,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.8,7.5,158,2.7,2,6,Irregular,Yes,Spend more time with friends and family.
5.5,7.6,218,4.3,7,5,Balanced,No,Maintain your current healthy habits.
4,8.7,105,1.8,6,9,Irregular,Yes,Incorporate physical activity into your routine.
6.3,5.7,76,2.7,1,4,Irregular,Yes,Spend more time with friends and family.
7,7.2,129,2.7,7,10,Balanced,Yes,Practice mindfulness or meditation daily.
4.1,8.4,209,4.3,10,10,Skipped,Yes,Limit social media usage.
6,7.4,33,3.6,2,1,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.2,6.9,181,3.9,2,3,Irregular,Yes,Incorporate physical activity into your routine.
5.1,9,208,3.4,1,1,Skipped,Yes,Incorporate physical activity into your routine.
7.7,5.1,41,3.6,2,3,Balanced,Yes,Limit social media usage.
3.7,7.8,119,3.9,10,2,Balanced,No,Continue staying socially connected.
5.3,6.5,143,1.3,8,4,Skipped,No,Keep a balance between work and rest.
6.7,6.4,193,3.6,3,1,Skipped,Yes,Practice mindfulness or meditation daily.
4.9,5.8,,3.4,8,7,Irregular,No,Stay active and eat well.
8.3,6,246,2.4,1,4,Irregular,Yes,Establish a consistent sleep routine.
4,5.9,216,3.9,3,1,Balanced,Yes,Practice mindfulness or meditation daily.
5.4,7.7,235,2.8,10,5,Irregular,No,Maintain your current healthy habits.
9,6.7,82,2.2,7,9,Balanced,Yes,Spend more time with friends and family.
8.7,7,268,3.4,1,6,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.2,6.8,199,2.5,9,2,Balanced,No,Stay active and eat well.
3.6,6.6,165,1.6,4,1,Skipped,No,Maintain your current healthy habits.
3.9,5.7,211,4.4,7,10,Irregular,Yes,Incorporate physical activity into your routine.
5.5,6.5,249,4.6,8,9,Skipped,Yes,Incorporate physical activity into your routine.
6.7,7.5,219,4.1,9,1,Skipped,No,Keep a balance between work and rest.
6.1,5.5,146,3.1,5,4,Skipped,No,Maintain your current healthy habits.
7.5,7.1,76,3.1,9,1,Skipped,Yes,Consider speaking to a counselor or mental health expert.
5.4,8.7,83,3.9,9,10,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.3,9.1,37,2.2,10,4,Skipped,No,Keep a balance between work and rest.
2.8,5.9,207,2.2,4,6,Skipped,No,Keep a balance between work and rest.
4,8.6,269,1.5,3,6,Balanced,Yes,Limit social media usage.
4,8.7,271,1.8,8,1,Irregular,No,Continue staying socially connected.
6.3,6.4,268,4.5,1,5,Irregular,Yes,Spend more time with friends and family.
5.1,8.2,206,2.9,3,1,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.9,6.9,162,4.9,6,3,Irregular,Yes,Practice mindfulness or meditation daily.
8.3,6.9,194,2.4,5,9,Balanced,Yes,Practice mindfulness or meditation daily.
8,4.9,63,3.5,8,7,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.4,9,147,2.5,1,6,Irregular,Yes,Consider speaking to a counselor or mental health expert.
7.3,7,284,4.3,7,5,Skipped,Yes,Practice mindfulness or meditation daily.
8.2,7.6,132,4.1,3,2,Balanced,Yes,Establish a consistent sleep routine.
3.4,6.7,59,0.8,7,10,Irregular,Yes,Establish a consistent sleep routine.
3.4,6.4,98,3,3,9,Skipped,Yes,Practice mindfulness or meditation daily.
6.6,9.3,37,1.9,4,8,Balanced,Yes,Practice mindfulness or meditation daily.
4.9,8.5,224,3.5,10,3,Irregular,No,Stay active and eat well.
6,5.5,30,2.4,5,9,Balanced,Yes,Spend more time with friends and family.
7.2,6.2,107,1.8,10,9,Irregular,Yes,Limit social media usage.
4.3,8.9,85,2.8,1,10,Balanced,Yes,Spend more time with friends and family.
6.3,6.5,156,3,7,8,Balanced,Yes,Practice mindfulness or meditation daily.
6.1,6.2,216,3.1,8,3,Balanced,No,Maintain your current healthy habits.
6.9,6.9,267,2.6,3,9,Skipped,Yes,Incorporate physical activity into your routine.
7.4,5.6,68,3.6,9,1,Balanced,Yes,Practice mindfulness or meditation daily.
5,5.2,54,3.2,4,10,Balanced,Yes,Establish a consistent sleep routine.
7.4,6.5,140,4.5,4,6,Skipped,Yes,Incorporate physical activity into your routine.
8.3,7.1,265,2.6,6,4,Skipped,Yes,Establish a consistent sleep routine.
5,7.6,258,4.9,9,1,Irregular,No,Stay active and eat well.
5.7,3.8,124,3.2,4,6,Balanced,Yes,Practice mindfulness or meditation daily.
7.4,6.5,91,3.5,9,2,Skipped,Yes,Consider speaking to a counselor or mental health expert.
9.1,8.4,202,2.3,6,4,Balanced,Yes,Consider speaking to a counselor or mental health expert.
6.9,6.8,142,0.3,1,10,Irregular,Yes,Incorporate physical activity into your routine.
5.7,6.7,168,2.8,3,1,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.7,5.6,290,0.9,7,10,Irregular,Yes,Incorporate physical activity into your routine.
5.1,7.4,130,5.4,3,1,Skipped,Yes,Incorporate physical activity into your routine.
5.1,7,166,3.6,2,3,Balanced,Yes,Establish a consistent sleep routine.
6.1,6.3,89,2.9,9,5,Balanced,No,Maintain your current healthy habits.
6.2,5.9,242,2.6,5,5,Irregular,No,Maintain your current healthy habits.
7,5,91,3.9,9,2,Skipped,Yes,Practice mindfulness or meditation daily.
5.5,6.2,43,4.3,3,6,Balanced,Yes,Practice mindfulness or meditation daily.
2.5,8.3,182,1.8,2,5,Balanced,Yes,Spend more time with friends and family.
3.6,6.8,227,3.8,6,3,Balanced,No,Maintain your current healthy habits.
3.8,7.9,44,3,7,4,Balanced,No,Maintain your current healthy habits.
7.6,7.7,283,3.7,4,6,Balanced,Yes,Limit social media usage.
5.9,8.7,147,4.3,5,4,Balanced,No,Continue staying socially connected.
5.3,7.7,124,4,3,3,Irregular,Yes,Consider speaking to a counselor or mental health expert.
8.6,7.1,98,1.8,7,10,Irregular,Yes,Establish a consistent sleep routine.
5,6.7,140,5.6,8,4,Skipped,No,Continue staying socially connected.
5.1,8.1,80,3.2,6,7,,No,Stay active and eat well.
6.2,6.1,139,2.5,4,6,Balanced,No,Stay active and eat well.
5.3,7.6,84,3.5,9,5,Irregular,No,Continue staying socially connected.
4,7.8,146,2.4,10,9,Balanced,Yes,Spend more time with friends and family.
5.7,5.4,119,2.8,2,2,Skipped,Yes,Incorporate physical activity into your routine.
6.9,6.7,280,3.8,3,6,Irregular,Yes,Incorporate physical activity into your routine.
6,4.9,227,2.3,10,2,Irregular,Yes,Incorporate physical activity into your routine.
7.4,5.3,113,3.5,9,1,Skipped,Yes,Spend more time with friends and family.
7.7,6.7,92,3,1,7,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.2,8.1,61,2.7,1,8,Skipped,Yes,Spend more time with friends and family.
3.5,7.3,204,5.4,1,2,Balanced,Yes,Incorporate physical activity into your routine.
8.9,8.4,161,3,1,8,Skipped,Yes,Limit social media usage.
3.9,5.6,191,2.6,2,7,Balanced,Yes,Establish a consistent sleep routine.
5.9,6.4,276,3,3,8,Balanced,Yes,Establish a consistent sleep routine.
6,4.8,83,3.8,3,1,Skipped,Yes,Incorporate physical activity into your routine.
3.2,8.6,125,3.4,8,8,Balanced,Yes,Incorporate physical activity into your routine.
3.5,5.4,36,4.4,5,3,Balanced,Yes,Limit social media usage.
7.2,8.1,226,4,4,10,Irregular,Yes,Establish a consistent sleep routine.
5.3,7.8,148,3.8,6,9,Balanced,Yes,Incorporate physical activity into your routine.
3.9,4.4,110,2.5,10,8,Skipped,Yes,Spend more time with friends and family.
6,6.9,253,2.6,9,8,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.9,5.5,,4.6,6,6,Skipped,No,Maintain your current healthy habits.
4.1,6.6,244,4,5,10,Balanced,Yes,Establish a consistent sleep routine.
6.8,4.5,46,3.6,5,9,Balanced,Yes,Incorporate physical activity into your routine.
8.7,6.5,146,4.6,9,5,Irregular,Yes,Incorporate physical activity into your routine.
8.4,4.3,151,1.7,2,6,Balanced,Yes,Incorporate physical activity into your routine.
5.5,6.7,58,1.5,4,1,Balanced,No,Continue staying socially connected.
4.8,7.4,127,4.5,7,8,Irregular,Yes,Spend more time with friends and family.
6.1,,279,2.4,2,9,Irregular,Yes,Limit social media usage.
6.2,6.1,230,3.2,8,1,Irregular,No,Keep a balance between work and rest.
8.5,5.7,133,1.4,3,2,Irregular,Yes,Consider speaking to a counselor or mental health expert.
5.4,7.3,131,4,2,3,Skipped,Yes,Practice mindfulness or meditation daily.
7.5,5.8,46,2.9,8,3,Skipped,Yes,Consider speaking to a counselor or mental health expert.
6.9,7.5,244,3.6,5,6,Irregular,No,Continue staying socially connected.
6.1,6.5,118,4.4,9,10,Balanced,Yes,Limit social media usage.
7.5,7.5,299,3.1,5,7,Balanced,Yes,Spend more time with friends and family.
6.7,6.2,244,3.7,4,7,Skipped,No,Maintain your current healthy habits.
7.2,8.1,132,0.3,1,8,Skipped,Yes,Limit social media usage.
5.3,6.1,127,3.1,10,7,Balanced,No,Maintain your current healthy habits.
7.5,8.2,33,1.1,6,9,Skipped,Yes,Incorporate physical activity into your routine.
6.2,8.6,137,3.1,3,7,Skipped,Yes,Practice mindfulness or meditation daily.
7.6,9.6,265,2.3,9,10,Balanced,Yes,Spend more time with friends and family.
5.6,5.7,94,2.6,8,2,Skipped,No,Maintain your current healthy habits.
5.6,5.3,182,2.2,1,5,Balanced,Yes,Spend more time with friends and family.
,6.8,169,3.6,7,8,Skipped,Yes,Spend more time with friends and family.
3.7,6.8,91,3.9,2,9,Skipped,Yes,Establish a consistent sleep routine.
5.9,6.6,101,3.2,5,3,Irregular,No,Maintain your current healthy habits.
6.7,4.6,255,3.1,9,10,Skipped,Yes,Establish a consistent sleep routine.
6.7,7.1,83,2.6,2,2,Skipped,Yes,Practice mindfulness or meditation daily.
4.2,5.5,189,3.5,3,6,Balanced,Yes,Practice mindfulness or meditation daily.
8.1,7.3,118,4.5,2,9,Balanced,Yes,Incorporate physical activity into your routine.
8.7,4.7,58,2.3,9,3,Skipped,Yes,Practice mindfulness or meditation daily.
6.8,7.8,290,2.1,6,8,Skipped,Yes,Practice mindfulness or meditation daily.
7.5,6.2,66,3.1,5,1,Irregular,Yes,Limit social media usage.
7.4,6.5,85,3.5,1,6,Balanced,Yes,Consider speaking to a counselor or mental health expert.
9,7.8,121,3.1,1,9,Skipped,Yes,Limit social media usage.
4.2,5.6,210,4,6,7,Balanced,No,Keep a balance between work and rest.
8.3,7.7,189,2.9,5,7,Irregular,Yes,Establish a consistent sleep routine.
6.6,6,235,2.2,2,1,Skipped,Yes,Consider speaking to a counselor or mental health expert.
7.3,5.3,217,3.2,8,3,Irregular,Yes,Incorporate physical activity into your routine.
5.4,5.7,103,4.2,5,6,Irregular,No,Maintain your current healthy habits.
5.6,6.7,271,3.4,4,1,Balanced,No,Stay active and eat well.
7.1,7.7,222,2.4,3,4,Skipped,Yes,Practice mindfulness or meditation daily.
8.9,8.4,87,2.9,7,10,Balanced,Yes,Spend more time with friends and family.
5.8,5,33,1.6,7,7,Skipped,Yes,Establish a consistent sleep routine.
2.7,5.8,159,3.9,4,6,Skipped,No,Keep a balance between work and rest.
6.6,6.8,113,1.5,3,1,Balanced,Yes,Limit social media usage.
5,7.9,191,2.1,3,1,Balanced,Yes,Establish a consistent sleep routine.
4.1,8.2,237,1.8,9,1,Irregular,No,Keep a balance between work and rest.
6.2,8.5,228,0.5,3,5,Balanced,Yes,Incorporate physical activity into your routine.
5.8,4.9,251,2.3,6,9,Skipped,Yes,Consider speaking to a counselor or mental health expert.
8.7,7,146,2,2,8,Irregular,Yes,Practice mindfulness or meditation daily.
6.4,6.5,238,2.5,6,9,Skipped,Yes,Practice mindfulness or meditation daily.
2.4,6.9,296,3.5,6,3,Balanced,No,Keep a balance between work and rest.
5.6,6,75,3,6,4,Skipped,No,Maintain your current healthy habits.
4.3,7.9,271,2.3,1,2,Balanced,Yes,Limit social media usage.
7.5,6.6,106,2.8,2,6,Balanced,Yes,Spend more time with friends and family.
4.9,8.7,172,3.6,2,10,Skipped,Yes,Practice mindfulness or meditation daily.
8.1,7.6,38,4.8,8,8,,Yes,Limit social media usage.
6.5,7.6,140,3.6,7,4,Irregular,No,Continue staying socially connected.
9.2,7.9,51,5.1,9,10,Skipped,Yes,Limit social media usage.
5,8.5,41,2.5,7,9,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5.5,7,84,4.7,7,5,Skipped,No,Keep a balance between work and rest.
5.7,6.5,111,5.1,6,2,Skipped,No,Stay active and eat well.
4,7.9,88,1.9,3,6,Irregular,Yes,Spend more time with friends and family.
6.8,7.8,188,2.9,10,8,Balanced,Yes,Consider speaking to a counselor or mental health expert.
3.2,5.4,49,6.1,3,9,Irregular,Yes,Limit social media usage.
6.5,8.5,257,2.5,2,2,Balanced,Yes,Spend more time with friends and family.
6.9,7.9,272,3.8,3,2,Irregular,Yes,Establish a consistent sleep routine.
6.3,8.2,37,3.8,4,7,Skipped,No,Keep a balance between work and rest.
3.9,8.2,31,3.3,9,6,Balanced,No,Stay active and eat well.
5.6,6.3,260,4.1,9,4,Skipped,No,Stay active and eat well.
4.3,6.9,57,3.8,1,8,Skipped,Yes,Spend more time with friends and family.
4.1,4.6,39,4.5,3,6,Balanced,Yes,Spend more time with friends and family.
6.1,5,295,2.1,5,4,Skipped,Yes,Establish a consistent sleep routine.
6.6,7.2,93,3.1,6,4,Skipped,No,Maintain your current healthy habits.
8.1,4.6,204,2.7,1,8,Irregular,Yes,Practice mindfulness or meditation daily.
9.1,6.9,236,4.3,6,4,Skipped,Yes,Establish a consistent sleep routine.
5.9,6.5,49,3.1,3,6,Irregular,Yes,Establish a consistent sleep routine.
5.3,6.7,41,2.1,10,4,Balanced,No,Keep a balance between work and rest.
7.4,6.9,252,3.1,7,6,Irregular,Yes,Spend more time with friends and family.
3.5,7.8,263,2,7,8,Irregular,Yes,Establish a consistent sleep routine.
5.1,8.8,34,2.9,2,1,Skipped,Yes,Establish a consistent sleep routine.
6,6.7,105,3.2,8,9,Skipped,Yes,Spend more time with friends and family.
7.7,7.9,176,3.8,2,2,Irregular,Yes,Practice mindfulness or meditation daily.
8.7,4.6,190,3.9,9,9,Irregular,Yes,Practice mindfulness or meditation daily.
6.5,7,106,2.4,2,6,Skipped,Yes,Establish a consistent sleep routine.
5.5,7.9,111,1.8,9,7,Balanced,No,Continue staying socially connected.
7.9,6.2,118,4.1,10,7,Balanced,Yes,Incorporate physical activity into your routine.
3.8,4.1,122,4.1,9,1,Balanced,Yes,Establish a consistent sleep routine.
5,4.9,131,3.2,10,2,Skipped,Yes,Limit social media usage.
4.9,3.8,146,2.3,10,9,Irregular,Yes,Consider speaking to a counselor or mental health expert.
3.9,4.5,257,4.4,6,2,Skipped,Yes,Establish a consistent sleep routine.
6.8,6.7,50,4.8,7,7,Irregular,No,Continue staying socially connected.
6.2,7,80,2.2,4,5,Skipped,No,Maintain your current healthy habits.
5.6,5.3,268,1.9,3,8,Irregular,Yes,Spend more time with friends and family.
7.4,4.6,175,3.3,10,9,Irregular,Yes,Establish a consistent sleep routine.
5.9,5.2,137,3.1,10,7,Balanced,Yes,Incorporate physical activity into your routine.
8.8,6.8,270,1.4,4,4,Irregular,Yes,Limit social media usage.
6.7,8.2,201,2.9,8,10,Balanced,Yes,Establish a consistent sleep routine.
6.4,9.2,249,2.3,10,8,Balanced,Yes,Consider speaking to a counselor or mental health expert.
5,7.9,101,2.7,8,1,Balanced,No,Stay active and eat well.
7.1,5.7,79,3.7,7,10,Irregular,Yes,Limit social media usage.
6.7,7.2,271,3.7,5,1,Balanced,No,Keep a balance between work and rest.
7,7,148,1.7,5,3,Irregular,No,Stay active and eat well.
6.2,7.7,167,5.2,9,9,Skipped,Yes,Practice mindfulness or meditation daily.
9,6.7,82,2.2,7,9,Balanced,Yes,Spend more time with friends and family.
6.2,7.7,167,5.2,9,9,Skipped,Yes,Practice mindfulness or meditation daily.
6.5,7,106,2.4,2,6,Skipped,Yes,Establish a consistent sleep routine.
7.2,8.1,132,0.3,1,8,Skipped,Yes,Limit social media usage.
6.6,9.3,37,1.9,4,8,Balanced,Yes,Practice mindfulness or meditation daily.
